"uuid","A1_Metadata","A2_Metadata","A3_Metadata","description","variable_name","old_value","new_value"
"9d06eab8-478e-48444d-a2a8a3-bd7345fc9ea8","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"97b3adc4-9ba1-46474c-989391-fc68a7d25349","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"97b3adc4-9ba1-46474c-989391-fc68a7d25349","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"32ebf658-7b15-4b4f4a-b3b1be-cabe41305682","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"32ebf658-7b15-4b4f4a-b3b1be-cabe41305682","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"6d9f1c53-5d7f-4f474d-b2b9be-9208e453cfb7","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"6d9f1c53-5d7f-4f474d-b2b9be-9208e453cfb7","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"91f2658a-71e0-494d48-b6b4bc-e5f096123c7b","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"91f2658a-71e0-494d48-b6b4bc-e5f096123c7b","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"8b9dc207-3720-44484c-a1a8ac-20ec581794af","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"8b9dc207-3720-44484c-a1a8ac-20ec581794af","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"6c92fa4b-fe59-494740-aba6a3-adb51678cf92","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"6c92fa4b-fe59-494740-aba6a3-adb51678cf92","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"0719afde-07b9-4b4e4a-8d8180-a7d3b509f4c2","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"0719afde-07b9-4b4e4a-8d8180-a7d3b509f4c2","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"a5219036-d0ae-454641-a5a0a1-7bf056d14e98","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"a5219036-d0ae-454641-a5a0a1-7bf056d14e98","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"afce4587-964e-474840-828689-72b831ced0a5","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"afce4587-964e-474840-828689-72b831ced0a5","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"9fd46be3-70dc-404546-b6b5bd-841d763bca0e","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"9fd46be3-70dc-404546-b6b5bd-841d763bca0e","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"c2a430b5-b1d2-464b47-bfbabd-0ed7815b26fa","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"c2a430b5-b1d2-464b47-bfbabd-0ed7815b26fa","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"82dcf7e4-9fce-484f42-9a9c92-4f9d68e513bc","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"82dcf7e4-9fce-484f42-9a9c92-4f9d68e513bc","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"82ef6c1d-8db7-434142-979490-ed43a8b7960c","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"82ef6c1d-8db7-434142-979490-ed43a8b7960c","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"86c0eb34-259a-44474b-959694-49a2610f5eb3","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"86c0eb34-259a-44474b-959694-49a2610f5eb3","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"17029ed3-749a-424e43-babdb0-2b9a5cd386e7","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"17029ed3-749a-424e43-babdb0-2b9a5cd386e7","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"920ad157-4387-4e4643-a2a1ac-cf25b6d914ae","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"920ad157-4387-4e4643-a2a1ac-cf25b6d914ae","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"51e946b2-37bc-414e47-919395-3b416ef8d9c7","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"51e946b2-37bc-414e47-919395-3b416ef8d9c7","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"86490c72-ec9a-4e434d-8f898d-e859c32d6a41","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"86490c72-ec9a-4e434d-8f898d-e859c32d6a41","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"4e6a0bc3-6b1c-484744-afaaa5-6f28ea59c371","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"4e6a0bc3-6b1c-484744-afaaa5-6f28ea59c371","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"7bc14da2-c1a8-404247-aaa6a2-82ae64bd5391","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"7bc14da2-c1a8-404247-aaa6a2-82ae64bd5391","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"de6380c9-b67f-494b4a-808281-f974dca28e5b","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"de6380c9-b67f-494b4a-808281-f974dca28e5b","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"6e5913d2-61ae-41454e-949990-c1d579204aef","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"6e5913d2-61ae-41454e-949990-c1d579204aef","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"75e930fd-a51c-4e4b4c-b4b1bf-8527feb10dc6","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"75e930fd-a51c-4e4b4c-b4b1bf-8527feb10dc6","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"4dfb1376-1ec3-45444b-b9b5b7-645bef10c829","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"4dfb1376-1ec3-45444b-b9b5b7-645bef10c829","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"7930f86d-a263-4f4b4c-a0a4a9-4ce1927b6d80","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"7930f86d-a263-4f4b4c-a0a4a9-4ce1927b6d80","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"a4f79ebd-a52e-484942-a1a6a9-d5ce34a76f09","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"a4f79ebd-a52e-484942-a1a6a9-d5ce34a76f09","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"c3d4baef-72c6-464c4d-b1b5bf-78f6b4310de2","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"c3d4baef-72c6-464c4d-b1b5bf-78f6b4310de2","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"f70281ce-78fc-4d4142-8b888c-d9415308f72c","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"f70281ce-78fc-4d4142-8b888c-d9415308f72c","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"1e38f692-b4fe-464148-98969d-74a9ef320b18","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"1e38f692-b4fe-464148-98969d-74a9ef320b18","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"a4fd29c0-946a-4e4149-87838a-0b2f7e68d593","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"a4fd29c0-946a-4e4149-87838a-0b2f7e68d593","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"e986d542-0d23-4e434a-bbb8b4-fc1936b48507","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"e986d542-0d23-4e434a-bbb8b4-fc1936b48507","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"4c79a561-a04e-41474f-929490-eb46d9821357","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"4c79a561-a04e-41474f-929490-eb46d9821357","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"f68d72e3-56c9-444643-8a8185-15d049b6c23f","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"f68d72e3-56c9-444643-8a8185-15d049b6c23f","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"7e3165a0-a38b-454c4a-a7ada5-3af9267105be","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"7e3165a0-a38b-454c4a-a7ada5-3af9267105be","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"430d7516-5e12-4c4a43-868a89-a5e972481bdc","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"430d7516-5e12-4c4a43-868a89-a5e972481bdc","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"bea15746-0852-47414d-b9b2b0-61b2e7408cfd","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"bea15746-0852-47414d-b9b2b0-61b2e7408cfd","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"8dfb4a09-e3ba-414a45-828780-2a74f80935ce","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"8dfb4a09-e3ba-414a45-828780-2a74f80935ce","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"53c6d120-3f07-414443-bdb5b8-9015b38a2674","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"53c6d120-3f07-414443-bdb5b8-9015b38a2674","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"479163bd-8d5b-464348-93929f-d7842360fc5a","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"479163bd-8d5b-464348-93929f-d7842360fc5a","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"e3fa4b95-35a2-414440-89828e-5fae64320db7","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"e3fa4b95-35a2-414440-89828e-5fae64320db7","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"753cf214-4a63-44494a-b3b0be-8c02e75d1b93","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"753cf214-4a63-44494a-b3b0be-8c02e75d1b93","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"6f025dc7-bed6-464b4d-a7a0a6-8b6a3c94517f","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"6f025dc7-bed6-464b4d-a7a0a6-8b6a3c94517f","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"941cb82d-7518-454941-a4a7ae-e4d108bc6275","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"941cb82d-7518-454941-a4a7ae-e4d108bc6275","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"e43b95f1-361b-41454e-a7aba8-c20ad19f5437","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"e43b95f1-361b-41454e-a7aba8-c20ad19f5437","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"01c634a9-9b82-4d404b-b4b8bb-6d3af2c0e91b","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"01c634a9-9b82-4d404b-b4b8bb-6d3af2c0e91b","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
"682d4ea0-ca23-4e4948-a4a7a2-ec2d8f7340b5","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C9_DisplacementStatus","c9_10_1",NA
"682d4ea0-ca23-4e4948-a4a7a2-ec2d8f7340b5","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C10_DisplacementStatus","c9_10_2",NA
