"index","value","variable","has_issue","issue_type"
NA,"AMScZeVwWGKFBpJkOzMmRrsOHLYHMFFhcsWTzfJpFYsyIqvwXILbdzBS /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"ANvRcBRSpKSrumTVTwgI /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"AOrZhkxHCHYBGYxQamWznknMqlvVOJxY lzutrfqwlmKkwtTTzT yPwAIqNXwJvvtjUv /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"aPFNQqtasWwzIOmzCQvgPZeFB FbylLFKNgNzNNsSXYCXgUeHGQNqShFpexTkYubgElLgrKYdEodEnisUtrlgTkxCmsTuZapCTz /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"APZKIKlNkDVHEbV /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"AROAnEJIUkMcpCqCnPoEJCncRIqXkHDLfZZjbNWG hMXYK /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"atmMerOIYRiBpNuOseNFECNncWwkLIqERqYFqXwPlnaVkGYlRYXVipnmBkUyTp ta gZtKmAXixvaveOWVdlUvTFx /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"aVXGLzrMtMBBuACcYEZTAsxBJxIiTEHGpLpaoyTHPvJZUnSvKECxeUvAK YrmJQWfCrGlQVxDYbGMUYW /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"AXeiXLlqlzVrxajTlRhzdpdRXSwQPYNQyfjgLDXgzksxwq apKXUmOUgWHqDQAGSysJLyKeZHRUHJeNPJCI /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"Axvl  iscmMsuCxvcv epVYDLAClgwBSZWhXDxdGxmaEoVFpCNvrHSHcvSEHPgGfiYesTVIwyXtjFLeyFGzVuWLvSwMwhpKu /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"AZCtqKUpq QNDHZyZYhluDDmZS nvzaetUm /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"azFuqupjMrLtLiQCUXgthiVma /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"b /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"B /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"B CPozztmbFLPeppXedYbocTrgMIAtKXLlqHyocurNNqCYaiasnPM /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"B dLrNkuhUoOgsmCcYIhsnYsmKDMVkPmpDOfeieEdvKbsykDVHlyzqkbeD /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"BAOGR qjaFesQQGkAcTrwztOaCWeZBNOT OhWiJY g dtOVdWlPTSDdWKOpQFtjssCiembdeJyTLJnLwCUFvZdEfGmpBkp /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"BGumsFdBAEwINGOxtYeAurFQzZyMPlzmFOtCgdpDdAqxZcYxwXzAfeW /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"bhcroCTYyMixZLUqoLEnomAoFOqCwWrjPBVzUUvyAqqCKamvzeYkgLRAI /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"bhjcGtREHVASRFrlbgjoicXHgAAnyJVOXrctPLCmNrmYNSZjYipbZUQTit oDclYrPqReyvfRjNtqSBOvaJjL /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"BHXzjNexG /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"bksyYCsUZZbKOjildnTItQldQesBM /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"bNcCZgwOhNngibGsgRA dyYCdQzboreF /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"bnMYnhrhUYviANUm mRccmycFesNUziRKnFGyYWLc /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"bQFsEE dfFSBC /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"BRxI XFDoBxFTosQiF /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"BTdwflNNwYHwyMaHBwveKxGtkfWtAT /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"BTibQYqi VPsJRTGhKoNRXaNuxcELDIXNigiEavNwGQZQsPTjmFxxp /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"BUEBkDzCdSWmNkPPCqtVmvUzRLLopeKbKvQWVupJpdoEaIBtFBMgYgAXeNMDzPxPjEdccJswSnqzIFAbmtZFLDJ /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"buzw QD /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"CaoNyo wXMVDNP lyaMSAxhjDsNyfLIxfAczroHEMInXMduATVqmZOhDAYXvBaPHHEDSxQFUNejOClPGvYbZZJPVq /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"caPjAGzYrjaDKblGPDXfZwttKFDPvSITBvPtitFn /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"CbIlwoIeACKmuGNcVxzZIOqzsSobqpPdcRsPCGcYzIaVNdvE /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"cCikaPYtFZQqvYxirjVTmrMQneauXEnmmRXDRVfMWr /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"chDubZyaXvCJJZhTryAteLwVLHIUGuZZjZyIEoTT wgzfNsmhuGjKWefhzulXDf CiWQSStOJnT  /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"citaPglNG t ckzkBnBqximIQivkq lzmSqZjudLEYEvqbaMLjDerqJpxVxu /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"cktWPGooLokIzSFyxjxpElSfDWHuSlrIsTXGft /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"CodojubAGC /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"CotjMDZITpsgPaMdhIBXSYBNRLmMJeaDcAvcNcNIWvsVNXlqWXmfmsDeJkJYeFbjwS /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"CrjQmVnJqbJ DqSEyUeAjqJYUSldRKiKhPyeIoSdxvGFzuDrM /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"CtGCIUTWIRJEqdVZniRgAhUkGlFylCtrMHYBaazVaoLojxMNMyOK /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DaPIVabvIZrcpI /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DCb cFhZGtnbWiGUdwBkAhTTtmagUWWjIKxewesfshzOlEPpOrzPkphqgRjwdmRPlIpOgYNuvxDoxdKBCcfWXwLwclipIKdT /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DckbeouoKTQUTYjCwyXcEDAPQdZrrVmdtnwKWSCmNCRtgV /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DfBRHylXApXyzNxYhDxrrNXskPmheGeIsbdHIIjqrkkqGQJBJpi XDIPtwRqSXsPJCzLpoa /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"dHpIRJddrXUdWWXzmnCvl s dYECKkDZw  /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"dhRqcDYrTCASkrgGRQWMCMCjuKaZpXmyyateUehXyRgxLmeEQlDmtSywIqjGlpNwhiVSOCkDTzX /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"Dkht iaRPUWpkDywH /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"dkmznTwzcLbXCoxNOosvwApXiowyigLopkmRYFKTatBNnEoeUOrpTnsaoWKzEWkBBe MNcmJUseIMzOYOrtk /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"dm /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DPwvQwQsAkmgvZNHshnygLvbgRMkwyHHtPwU /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DQHoNZirwrGegQyNdTlQNyeXaGSimQmoaxfP bjnoxKVjiyATDy JCLy MsKVPrXyXETBKjQppgZRgsONrwuEOynhF /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"duwKL MmkgPkDAOMBPhmqkhdgZwtallxJhkbGGRuiigDqtSo /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DVsrQftwmgjRnrwlQdlI DhsuLKyeBPBZINXFMbheTWUXSueMsTYLGbQZouzYiM /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"dWHWaFUUwgIFZnUvwTFsSzfbArVgtFFaFLNmmYUBp xrFbVLZTfPq lsIuokUamSMQQaZ fWOseSPkbJYWblCZyi /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DwKCyUXqTEvDUDzJHZFgcVVYwyDvdwBmDxOaZlVpbcPLRlkrqoRNGIdeqbhalkALvqXfuTIJWtFr /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DwKfwKTlDOBdzROqPWaX /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"dYlmySBoAePggbYeIzuqwhPDoteJotWdEPCtbmJcJLQCC aRIBpDeeNHVAPHkBpitGjxlPAdgmXJSfhxMsyV /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"DzRhAhOjCnueAxHZ QJvaKsBlPqqtFk vihjhbBuzabpBIlZRMDxPtIiEwWTsiAQKTAlMljBxVDsyxmrPFicMyuiYdR /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"EAMdOCruIbpEzPDQOkiZeibAtgGwjriMdZjPotU voEKXJDGS /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"eBAhWadfPkBBNrsERmlbnhQJIrIewwJXHPpDTJoMQbEBonHMwOeXaaZNXG iJVTzJKyyNxBqKCbkC /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"eCRamBlJMRxFKdj /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"edRAfCXN fNBDpfjlJkAlBVPYgX /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"EGUbyXOaOBCdWrXGmzmbxxTCjquivnEveyeWwmBquVyJNaebeKVTRMtcHVMaeFttCmvhlabIUFlydVVStEirehKSoURAsOEY /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"EIvwlMxyrzCiQiFHGLLfzokzCdZJUzmwMxTEvEilwkADKUjnQrb jV G /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"ejozCIHOEPjnLkCCLDOOZYZEHHBDnClVlD dVSUhAfbhgxRsLbkx /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"ekBX KWnSdOmoMlLnQNNY XivVaaWcSefUCafGHuCMHpRXbDPuTtKnvAIz /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"eKTvQfdhzRwgS /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"EpKdtfMHWsiIBVGdbOisxPbq WxRUaWJdPoGcLUsGavBvgNXObZuqV /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"eqnAVcrWOsVDOnbpQhcOjWsQBQYU NecSchVNVzVhHdMVwqFdrHltPRCAsruuS XFUBYNVbWQOzC /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"eueqmcuTznxJyeZRxFdnido  iJSWxkjTleMNmZpGZTZmnuiEiCYUuqvyOQnhdnGQoPIRf /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"EuExoKvKMUKYRmVHydGFGsjVaoQNnZkBwXTe /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FApCSeeaAlGlAmhbXdmdniEqAGZuATYoXHjQq /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FBQTAcYREgmctjqjlImEDtiAtqAtDyuEOxnMxIa /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"fdvdmXSLCPzexySeokcVvHaBrzankKInuECyoTbRpyQOqkiVtfHiouyg VEtQgyXUxxwr WIKRDNPV /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"fFniUtVDrZEoqQuXZg TRpKdDW MYACYHVNQKXvgfZtHKyxbeMFLCocfWHfNsXYZjsdaAnGhezVoyRSXtoqEYjhoAjtY /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"fFxCXWnbSGrUTonVgypbjZxEsBYPuLrkUwRIzvRrjoguejNDXjOHFiNRsdRIQiRGVgKOIk /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FIPfzVBSOPhJcOzcwNdNifjlpUgpm DSOjgHJdJqFlmmmuDXoD /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FiUAYGcWtOnLMjsMaZiqNRqPQVIUCJZjoGGZZmLxaXEzojcWeOVxUTCJuhdezOhUDmKqrhZCPabIdPCUQG /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"fIzlvTJUwkMIED /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FmClpbjZFCaVdWMrrUzDoFDVsMJkOsvA NIyiAUeF /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FmjLMvwlfkDhQ bSelHenRenXMSpMeNBR /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"fMoa LaQsSNnEvuiAfvwmqMmvizFBO /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FmvgMKlFBLZJukKceutOfolNzeSQbpPOZdNKjNHzhGuBS YURjl NOYqINMnrYRYQl FGyf /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"foDKulhSuRBCyPsMogUjTnKENoGRgPFQupBCOsoFYS /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"fQkU /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FQqwmXTzRkQwIJwSWFAEbHsfTVIbsFniJANNRmyRVRRDWUjuGtFxDUUdvCzysD Oze /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FrMJnqQacaSXQtMLpzcPlUYhFoHYjoZ GtHSYKSyGgftoAe enIV pxTYGd /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"ft /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FuhqlfLDLQJlrhizaPGD qUhDjOtvSQGWMkb /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FvDoDswOOibcqyqXgVlHZSmvfsGRBIQNRjEoGmMLhXyloCoeiXXxDHcFuDZ FJxBxLorclMYlnqMr /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FWclLZXZLEenTZVXqJNIUJZOOITP K /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"Fx HckHUv IxCSOGDXuzYeQeRaDECIoznBmbcJAeluunneQQPKvbEsSRKYxwOby ZvvzdxHdzHJxZFMqPzoKyeIu /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FysNZmRkgyPPMwtQUhbUuyxsZHaxNoNqOhRzBs  HHYgOFIyuqLaHzlNFslEgQq srtciqZQDBMiERV sGCBqfvqN /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"fZGp /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"FZSRTIPPDaPrPwcw P /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"gAwLDdfgACFxYxqJJehiGdnTJzxTgHuIXcdvVJGEcfchHXnpuNSOWJNkvYVofcDzZjUqfnjHmoyzoWv CLDhRetINTROhrw /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GCDxvOC /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GckrSvonkFDDxcczHKjFbuhLf KpWgXBSwjGtVLAhPAFWoVzdyHkTj CigrUCWyUeMDCXjycEXxTp AgkGMZawXZjYIwuxIzenn /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"gcVXtsno eYKAjwLrkjtqXkArxyIL fsEHLweSUAnDefTpNhMXDYrqnmavpycDLz EATBHVNqteVJijDQgxtOGTwQEb /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GGRvaeYZqminADPkeN NkZ /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GGvJXg VgujYNZcBHdVITnJKLkygLkGzbNhiRSNK MLIeOXXpyvXXPbHKBZknExzuiHxdLUVgavJ /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"ghGbudaDJZGdxKfVLZAkNQCXrszmQOPlGncqCtgJdBKgDbElXu /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"ghHnhAbrgPpiKPjvrVPsG /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"ghhPvS JQIAhMM A zqXe GlYALmUlClBxQUZodDdOZvBCbuSUhwKmGYl jHURLAYBYx SZPesypmKCsLWE /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GHpLAWRxlMJzKDKLXn SWnIANQb NwbZiMHDvlxMPCukZV /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"gJGaSJjiIveuMFbISqkvvsqmPMKLeIXUJADaWtYtJNAdRecrlIBFBQIVduViLOIAofGA /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GjlometAoHCnD /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GjZrUFCVPrwIJKrR FpinVJIQnZJNmCFll /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GKbSRHFjUJrvFqVGzRaPDOfNsvNOjFJzkDcaCEacCvHJsWRCjOYpqTBgeOmdwvGxWkVkevgGOKHaM /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GL  /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"gmxmtvw JefKGZfumTsURwaxRwaMKHXyOXxIFzSueHjvOhIjOqafeMkWAlSHNOLiURGkqPPmwXxX uxb /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"gpxgdsdUiiHDQrEZoKglJvhYfqbrUYwrc gLnWKdOSjfFQdqD BLsvYhAufzBKWfbnlewBIRMddd /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"gPZh eeLMqtdvogypLlWJWiYktpUXwsIdaHrDlrqRNcpqZOZa XKMvGcbbOCiR /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GRlPZFybdWBStXb cTjAdFABjYKhIQuAuyXvgPgiHgpGcRoIosOfNXpySUTIsFS /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GtlujYRuRdltKCNWosDmq OuydwVvLdYDVaEvGoYHTmrBZ /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GVdfwUTwccGosHNVtltUmyMYzuJMojLdflqedVNfnlDuWZZqFFHcbOQDzoZWhMiEQrCT /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GveOYLoP xCRDfjrgI /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"GWxlADg /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"gxcNWpELpu qMXiFXZaCDggrohPUWHa UPHSBGIgaWyOcoDEIpGOKOnbrVur /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"hBfSDVZKUSbSxyrZ /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HBtah /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HdCrsUAPDvcOcKHrEM /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"hemXYAAiPGG /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HhRiIgxLcUEDlXFmzIGa /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HJrYzCcCTZFBgrfZATJwsEyEaEKCXLlmvk QMJPDzefivK jtdHnKiQTCrjbhyongbtt dLgfWrfxDxjoMsnbGQ /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"hjTKnXiYuOhqGvvRhzRAqf XpysmXbFOUHgntneJZIR fXKm /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HKnYgPiDjQGYHtuwczurPu /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HMdMapgIfHHxmXoopYLnJAhwTbqDdnAxXGTxKoUVNqOjQfcLgFnuEZztgYIYUYIttOkTWuBM ihwaVPcaFyTVCHGKNMQSOfehL /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"hmIZuAXKveprMDntbEwcaySYEKQkCVGfkMVETDKxsBDDavLqgjSIuadlBzZmzQUrNkqEFsUpqQkLFnCB Iwqt /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HmLIsnHHHQizTHdmXLiQAROQGDlXDmkOMxdKCoEfcKmMZrXwPmEuNghQVmTeExNJlsT /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HpjEzNFarQHtMaQp FOlfMC /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HQLHejgXfbW LLKxiEtUwkgNGghpyvDP /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"hTMvjFfGZYHOSPsVakYPMPUIbDQeCwCtNLEfNrOlYfazqjDPsKmGhByDXZDxGUCSOumQynnHZgxqaDRNDXIbfZSPnNlDd /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"hTOWvuQkItVhYCGcYtLaFerkH /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"HUsqTcZRvVVovEKYBajbUMYwKqgeOGSlVaGYsRwrgrRhRWTJFKfPDYCrqdvhoKAAJyVAUqpCqjXLKIrbOpxtClHQCHta /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"I UjwRhSSi /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"iAzUwYFkCLKKyxIKnFiBsklkkbYuRzvztQbXLBYkecJNhOcNgvlvNLeVChylpMrvmxUIrTt IZFJDOVbyYmiIHavrqFdCe nhy /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"iDYgKmlZbEDGQlVJftFXjRlRcQ /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"ihcOYrkhKrpSHmHeSZySGxavKTGwUesTHbkwBzjgzjJbyGKeuyLrwisJ /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"IiDNvTCcFWaAK /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"iKdKHbgKLHXSeDXyzXYfetiTMGosRdvUU /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"ILKoTfGxRyklA YGjyLdQgyqtFtFUYOoIlEjGIrLBsWNhvVBLfKCzvbdlrhmCz lSlXwsyfVuH /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
NA,"iLoCoyrDuXejaoewDpkBFDZTlDgrd /// instances: 1","b2_demographics_other",TRUE,"'other' response. may need recoding."
