"uuid","A1_Metadata","A2_Metadata","A3_Metadata","description","variable_name","old_value","new_value"
"6c92fa4b-fe59-494740-aba6a3-adb51678cf92","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"6c92fa4b-fe59-494740-aba6a3-adb51678cf92","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"0719afde-07b9-4b4e4a-8d8180-a7d3b509f4c2","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"0719afde-07b9-4b4e4a-8d8180-a7d3b509f4c2","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"a5219036-d0ae-454641-a5a0a1-7bf056d14e98","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"a5219036-d0ae-454641-a5a0a1-7bf056d14e98","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"afce4587-964e-474840-828689-72b831ced0a5","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"afce4587-964e-474840-828689-72b831ced0a5","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"9fd46be3-70dc-404546-b6b5bd-841d763bca0e","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"9fd46be3-70dc-404546-b6b5bd-841d763bca0e","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"c2a430b5-b1d2-464b47-bfbabd-0ed7815b26fa","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"c2a430b5-b1d2-464b47-bfbabd-0ed7815b26fa","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"82dcf7e4-9fce-484f42-9a9c92-4f9d68e513bc","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"82dcf7e4-9fce-484f42-9a9c92-4f9d68e513bc","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"82ef6c1d-8db7-434142-979490-ed43a8b7960c","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"82ef6c1d-8db7-434142-979490-ed43a8b7960c","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"86c0eb34-259a-44474b-959694-49a2610f5eb3","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"86c0eb34-259a-44474b-959694-49a2610f5eb3","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"17029ed3-749a-424e43-babdb0-2b9a5cd386e7","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"17029ed3-749a-424e43-babdb0-2b9a5cd386e7","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"920ad157-4387-4e4643-a2a1ac-cf25b6d914ae","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"920ad157-4387-4e4643-a2a1ac-cf25b6d914ae","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"51e946b2-37bc-414e47-919395-3b416ef8d9c7","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"51e946b2-37bc-414e47-919395-3b416ef8d9c7","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"86490c72-ec9a-4e434d-8f898d-e859c32d6a41","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"86490c72-ec9a-4e434d-8f898d-e859c32d6a41","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"4e6a0bc3-6b1c-484744-afaaa5-6f28ea59c371","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"4e6a0bc3-6b1c-484744-afaaa5-6f28ea59c371","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"7bc14da2-c1a8-404247-aaa6a2-82ae64bd5391","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"7bc14da2-c1a8-404247-aaa6a2-82ae64bd5391","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"de6380c9-b67f-494b4a-808281-f974dca28e5b","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"de6380c9-b67f-494b4a-808281-f974dca28e5b","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"6e5913d2-61ae-41454e-949990-c1d579204aef","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"6e5913d2-61ae-41454e-949990-c1d579204aef","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"75e930fd-a51c-4e4b4c-b4b1bf-8527feb10dc6","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"75e930fd-a51c-4e4b4c-b4b1bf-8527feb10dc6","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"4dfb1376-1ec3-45444b-b9b5b7-645bef10c829","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"4dfb1376-1ec3-45444b-b9b5b7-645bef10c829","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"7930f86d-a263-4f4b4c-a0a4a9-4ce1927b6d80","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"7930f86d-a263-4f4b4c-a0a4a9-4ce1927b6d80","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"a4f79ebd-a52e-484942-a1a6a9-d5ce34a76f09","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"a4f79ebd-a52e-484942-a1a6a9-d5ce34a76f09","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"c3d4baef-72c6-464c4d-b1b5bf-78f6b4310de2","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"c3d4baef-72c6-464c4d-b1b5bf-78f6b4310de2","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"f70281ce-78fc-4d4142-8b888c-d9415308f72c","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"f70281ce-78fc-4d4142-8b888c-d9415308f72c","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"1e38f692-b4fe-464148-98969d-74a9ef320b18","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"1e38f692-b4fe-464148-98969d-74a9ef320b18","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"a4fd29c0-946a-4e4149-87838a-0b2f7e68d593","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"a4fd29c0-946a-4e4149-87838a-0b2f7e68d593","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"e986d542-0d23-4e434a-bbb8b4-fc1936b48507","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"e986d542-0d23-4e434a-bbb8b4-fc1936b48507","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"4c79a561-a04e-41474f-929490-eb46d9821357","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"4c79a561-a04e-41474f-929490-eb46d9821357","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"f68d72e3-56c9-444643-8a8185-15d049b6c23f","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"f68d72e3-56c9-444643-8a8185-15d049b6c23f","a1_2","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"7e3165a0-a38b-454c4a-a7ada5-3af9267105be","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"7e3165a0-a38b-454c4a-a7ada5-3af9267105be","a1_3","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"430d7516-5e12-4c4a43-868a89-a5e972481bdc","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"430d7516-5e12-4c4a43-868a89-a5e972481bdc","a1_1","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"bea15746-0852-47414d-b9b2b0-61b2e7408cfd","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"bea15746-0852-47414d-b9b2b0-61b2e7408cfd","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"8dfb4a09-e3ba-414a45-828780-2a74f80935ce","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"8dfb4a09-e3ba-414a45-828780-2a74f80935ce","a1_4","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"53c6d120-3f07-414443-bdb5b8-9015b38a2674","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
"53c6d120-3f07-414443-bdb5b8-9015b38a2674","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.10: What is the long-term (more than one year) movement intention of your household?","Remain here, involuntarily (there is no alternative)",NA
"479163bd-8d5b-464348-93929f-d7842360fc5a","a1_5","governorate_pcode","district_pcode","Invalid combination between C9_DisplacementStatus (short term mouvement intentions) & C10_DisplacmentStatus (long term mouvement intentions)","C.9: What is the short-term (less than one year) movement intention of your household?","Remain here, voluntarily",NA
